epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,58855.8,0.78571,0.41718,0.99509,0.96759,0.92423,0.97089,0.85519,0.46141,0.26271,0.85818,0.0002971,0.0002971,0.0002971
73,59885.9,0.78677,0.4161,0.99502,0.96536,0.92642,0.97082,0.85564,0.46058,0.26257,0.85763,0.0002872,0.0002872,0.0002872
74,60909.4,0.7886,0.41265,0.99249,0.96477,0.92683,0.97084,0.85613,0.45972,0.26187,0.85726,0.0002773,0.0002773,0.0002773
75,61932.1,0.78488,0.41699,0.98844,0.96567,0.92631,0.97094,0.85626,0.45913,0.2618,0.85685,0.0002674,0.0002674,0.0002674
76,62794.2,0.77725,0.40542,0.98403,0.96343,0.92725,0.97084,0.85664,0.45853,0.26202,0.85646,0.0002575,0.0002575,0.0002575
77,63817.5,0.77122,0.40617,0.98293,0.9632,0.92758,0.97088,0.85688,0.45799,0.26153,0.85626,0.0002476,0.0002476,0.0002476
78,64839,0.7753,0.40999,0.98778,0.96145,0.92825,0.97085,0.85678,0.45736,0.26158,0.85596,0.0002377,0.0002377,0.0002377
79,65896.3,0.76531,0.4054,0.98359,0.96239,0.92776,0.97079,0.85687,0.45694,0.26066,0.85575,0.0002278,0.0002278,0.0002278
80,66953.2,0.77091,0.40397,0.98666,0.95537,0.935,0.97092,0.85736,0.45657,0.2599,0.85569,0.0002179,0.0002179,0.0002179
81,67976,0.76062,0.39809,0.98255,0.95588,0.93437,0.97088,0.85744,0.45617,0.25962,0.85562,0.000208,0.000208,0.000208
82,68999.3,0.75397,0.39508,0.97767,0.95568,0.9342,0.97094,0.85734,0.45587,0.25975,0.85555,0.0001981,0.0001981,0.0001981
83,70229.5,0.75724,0.39565,0.97995,0.9566,0.93412,0.9713,0.8574,0.45564,0.25875,0.85549,0.0001882,0.0001882,0.0001882
84,71091.3,0.76065,0.39913,0.98062,0.96043,0.92971,0.97124,0.85772,0.45524,0.25853,0.85532,0.0001783,0.0001783,0.0001783
85,72113.4,0.75489,0.39444,0.9755,0.96011,0.92996,0.97088,0.85789,0.45482,0.25823,0.85517,0.0001684,0.0001684,0.0001684
86,73135.1,0.75005,0.39109,0.97472,0.95993,0.93007,0.97118,0.85772,0.4546,0.25819,0.85511,0.0001585,0.0001585,0.0001585
87,74157,0.74328,0.38829,0.97261,0.96058,0.92977,0.97147,0.85783,0.45424,0.25828,0.85508,0.0001486,0.0001486,0.0001486
88,75179.9,0.73871,0.3842,0.97252,0.96001,0.93062,0.97148,0.85801,0.45392,0.25792,0.855,0.0001387,0.0001387,0.0001387
89,76040.4,0.74293,0.38165,0.97375,0.96064,0.9308,0.97145,0.85824,0.45375,0.25762,0.85498,0.0001288,0.0001288,0.0001288
90,77062.6,0.73804,0.38186,0.97047,0.96064,0.9309,0.97148,0.85816,0.45348,0.25721,0.85488,0.0001189,0.0001189,0.0001189
91,78117.1,0.68667,0.32342,0.9442,0.96083,0.93072,0.97147,0.85818,0.4532,0.25758,0.85478,0.000109,0.000109,0.000109
92,78976.6,0.68706,0.32112,0.94325,0.96081,0.93084,0.9715,0.85829,0.45297,0.25792,0.8548,9.91e-05,9.91e-05,9.91e-05
93,79999.6,0.6725,0.31566,0.94044,0.96109,0.93079,0.9715,0.85845,0.45277,0.25755,0.85474,8.92e-05,8.92e-05,8.92e-05
94,81010.6,0.67523,0.31604,0.93878,0.9607,0.93181,0.97149,0.85822,0.4525,0.25677,0.8547,7.93e-05,7.93e-05,7.93e-05
95,82233.5,0.667,0.31361,0.9379,0.96059,0.93277,0.97149,0.85856,0.45223,0.2561,0.85464,6.94e-05,6.94e-05,6.94e-05
96,83252.5,0.66463,0.31324,0.93592,0.96003,0.93377,0.97154,0.85871,0.452,0.25535,0.8546,5.95e-05,5.95e-05,5.95e-05
97,84270.7,0.66258,0.30913,0.93624,0.95786,0.93416,0.97156,0.8589,0.4518,0.25525,0.85454,4.96e-05,4.96e-05,4.96e-05
98,85525.8,0.65797,0.31032,0.93029,0.95763,0.93377,0.97153,0.85875,0.45159,0.25553,0.85455,3.97e-05,3.97e-05,3.97e-05
99,86765.6,0.65384,0.30657,0.92973,0.96307,0.92877,0.97158,0.85902,0.4513,0.25566,0.85446,2.98e-05,2.98e-05,2.98e-05
100,87626.4,0.65534,0.30627,0.93123,0.96308,0.92877,0.97155,0.85934,0.45112,0.25584,0.85445,1.99e-05,1.99e-05,1.99e-05
